country,year,voter_turnout,population_millions,gdp_per_capita,unemployment_rate,compulsory_voting,years_eu_membership,corruption_index,urbanization_rate,median_age,eu_net_beneficiary,weekend_voting
AT,2009,45.97,,51581.3982361071,,0,14,,67.0435560819078,40.9,0,1
BE,2009,90.39,,48303.397956286,,1,51,,84.427037120012,40.7,1,1
BG,2009,38.99,,7271.30338858025,,1,2,,70.902099609375,41.9,1,1
CY,2009,59.4,,35397.296875,,0,5,,67.8666261318649,35.4,1,1
CZ,2009,28.22,,22774.7045076205,,0,5,,73.4655517409377,39.3,1,0
DE,2009,43.27,,46379.1647953479,,0,51,,80.2459549084581,43.2,0,1
DK,2009,59.54,,64616.6657583663,,0,36,,86.583137512207,40.2,0,1
EE,2009,43.9,,18205.9064113446,,0,5,,67.6696980194394,39.8,1,1
EL,2009,52.54,,31695.8331092209,,1,28,,75.615079456679,40.3,1,1
ES,2009,44.87,,35603.248328071,,0,23,,78.0421438998777,39.2,0,1
FI,2009,38.6,,53769.4726240385,,0,14,,69.2943672196361,41.5,0,1
FR,2009,40.63,,,7.4,0,51,,77.1561901569367,39.3,0,1
HU,2009,36.31,,15762.6322515113,,0,5,,68.0976986078883,39.4,1,1
IE,2009,58.64,,61353.1065629523,,0,36,,61.3581903884996,33.4,0,0
IT,2009,66.47,,40828.5795580937,,0,51,,67.9071958431441,42.6,0,1
LT,2009,20.98,,14955.5345462921,,0,5,,,39.6,1,1
LU,2009,90.76,,120422.137934157,,1,51,,87.6037664162874,38.6,1,1
LV,2009,53.7,,15677.6080864506,,0,5,,67.8420335208058,39.9,1,0
MT,2009,78.79,,22315.3104212988,,0,5,,94.0294765354989,39.3,1,0
NL,2009,36.75,,58246.7026905874,,0,51,,85.6149582464487,40.0,0,0
PL,2009,24.53,,14048.5604672654,,0,5,,61.1258760375274,37.3,1,1
PT,2009,36.77,,24949.0413566739,,0,23,,60.3510029424595,40.4,1,1
RO,2009,27.67,,10435.1561230787,,0,2,,53.6297858153706,38.7,1,1
SE,2009,45.53,,55817.1759726485,6.3,0,14,,84.7517366727063,40.6,0,1
SI,2009,28.37,,,,0,5,,50.3620036820409,41.0,1,1
SK,2009,19.64,,18744.3192278346,,0,5,,54.895930446636,36.3,1,0
AT,2014,45.39,,50305.3545774973,5.7,0,19,69.0,67.2981308784247,42.6,0,1
BE,2014,89.64,,46964.5946777056,8.6,1,56,75.0,85.7415410247275,41.1,1,1
BG,2014,35.84,,7795.98092108928,13.9,1,7,41.0,,43.3,1,1
CY,2014,43.97,,27764.73046875,15.9,0,10,63.0,67.2102333625375,36.1,1,1
CZ,2014,18.2,,20260.4954999375,7.0,0,10,48.0,73.1622186934979,40.4,1,0
DE,2014,48.1,,47206.8353514242,4.9,0,56,78.0,80.4732318400362,45.4,0,1
DK,2014,56.32,,61377.5940590412,7.4,0,41,91.0,87.5436524760432,41.0,0,1
EE,2014,36.52,,19310.3874900757,8.6,0,10,68.0,68.0923458296768,,1,1
EL,2014,59.97,,21573.3449762805,27.8,1,33,40.0,77.0951999650171,42.4,1,1
ES,2014,43.81,,29228.846559842,26.1,0,28,59.0,78.9858086902112,41.3,0,1
FI,2014,39.1,,49691.0145200739,8.3,0,19,89.0,70.6742118159277,42.3,0,1
FR,2014,42.43,,42669.1795111893,10.3,0,56,71.0,77.2440721470918,40.6,0,1
HR,2014,25.24,,14134.9474982889,17.3,0,1,48.0,55.3659479687433,42.4,1,1
HU,2014,28.97,,13739.4620151401,9.8,0,10,54.0,69.9277636266638,41.1,1,1
IE,2014,52.44,,52537.6108648692,13.8,0,41,72.0,62.4047157756118,35.4,0,0
IT,2014,57.22,,35701.6746002376,12.4,0,56,43.0,69.3073989916076,44.4,0,1
LT,2014,47.35,,15636.5252586048,11.8,0,10,57.0,67.0092086791992,42.1,1,1
LU,2014,85.55,,120000.140729859,5.9,1,56,80.0,89.9413746679705,39.1,1,1
LV,2014,30.24,,14484.4715282132,11.9,0,10,53.0,67.847334482933,42.1,1,0
MT,2014,74.8,,25415.5566867731,6.1,0,10,56.0,94.3906567856206,40.5,1,0
NL,2014,37.32,,52602.2860520766,8.2,0,56,83.0,89.1749992370605,41.6,0,0
PL,2014,23.83,,13621.9023794031,10.6,0,10,60.0,60.5333187465323,38.8,1,1
PT,2014,33.67,,21676.4859642714,17.2,0,28,62.0,61.1405315215642,42.6,1,1
RO,2014,32.44,,9497.67411615237,9.0,0,7,43.0,53.9101758034365,40.5,1,1
SE,2014,51.07,,60843.9888799369,8.1,0,19,89.0,85.9249771259894,40.9,0,1
SI,2014,24.55,,23236.9655321695,10.1,0,10,57.0,50.0466580754027,42.2,1,1
SK,2014,13.05,,18312.7805149823,14.1,0,10,47.0,54.1384024098892,38.2,1,0
AT,2019,59.8,8.822,51194.0749841299,5.2,0,24,76.0,68.1046787227623,43.2,0,1
BE,2019,88.47,11.399,47487.2100392561,6.0,1,61,75.0,86.8883449485575,41.6,1,1
BG,2019,32.64,6.757,9849.38397225174,6.2,1,12,42.0,73.600212097168,45.4,1,1
CY,2019,44.99,0.879,29120.375,8.4,0,15,59.0,66.8255530496405,38.4,1,1
CZ,2019,28.72,10.61,23705.9329811299,2.2,0,15,59.0,72.8498744351241,42.3,1,0
DE,2019,61.38,82.792,48916.1686612154,3.2,0,61,80.0,81.1423036204018,46.0,0,1
DK,2019,66.08,5.781,61324.7665045565,5.1,0,46,88.0,88.1059762310689,41.8,0,1
EE,2019,37.6,1.319,23618.1361254581,5.4,0,15,73.0,69.2803532930133,42.0,1,1
EL,2019,58.69,10.667,19873.4015238771,19.7,1,38,45.0,78.0490656849874,44.7,1,1
ES,2019,60.73,46.645,30602.4212881113,15.3,0,33,58.0,79.5580057813361,43.5,0,1
FI,2019,40.8,5.513,49654.2497035329,7.5,0,24,85.0,72.3423467740343,42.7,0,1
FR,2019,50.12,67.026,41418.1766484844,9.0,0,61,72.0,78.6714432536599,41.6,0,1
HR,2019,29.85,4.014,15460.3669595491,8.3,0,6,48.0,56.093170097094,44.3,1,1
HU,2019,43.36,9.714,16605.0570511887,3.6,0,15,46.0,70.4711761474609,42.6,1,1
IE,2019,49.7,4.856,80804.1123164826,5.8,0,46,73.0,63.0844503476779,37.3,0,0
IT,2019,54.5,59.938,34904.1081923834,10.6,0,61,52.0,69.4800033569336,46.4,0,1
LT,2019,53.48,2.826,19247.2315367967,6.2,0,15,59.0,67.1464742010457,44.0,1,1
LU,2019,84.24,0.602,116926.759593905,5.6,1,61,81.0,92.6709441899184,39.4,1,1
LV,2019,33.53,1.934,17252.1710428626,7.4,0,15,58.0,68.0160346376376,43.3,1,0
