country,year,voter_turnout,population,gdp_per_capita,unemployment_rate,compulsory_voting,years_eu_membership,urbanization_rate,median_age,eu_net_beneficiary,weekend_voting,national_turnout
FI,2004,39.43,5213014,32920.0857192568,10.469,0,9,68.0425549126858,40.1,0,1,66.71
FR,2004,42.76,62249855,29479.5222101175,8.306,0,46,77.4691216035138,38.1,0,1,60.32
HU,2004,38.5,10129552,8410.09248198479,5.79,0,0,64.8452987670898,38.8,1,1,70.52
IE,2004,58.58,3996521,41203.5295847568,4.478,0,31,59.9120142632573,33.0,0,0,62.57
IT,2004,71.72,57399184,27577.5700319855,8.869,0,46,67.4299414611787,41.1,0,1,81.44
LT,2004,48.38,3415213,5507.47434187652,12.874,0,0,66.7596664428711,37.2,1,1,46.04
LU,2004,91.35,451630,65689.3214536911,3.675,1,46,85.5906295073034,37.7,1,1,91.68
LV,2004,41.34,2287955,4914.57992829302,12.061,0,0,67.9493840506358,38.8,1,0,71.17
MT,2004,82.39,398582,13593.9787155682,7.488,0,0,93.5241031580205,37.4,1,0,95.7
NL,2004,39.26,16225302,35896.7504630706,3.593,0,46,81.3011308878582,38.2,0,0,80.04
PL,2004,20.87,38204570,5720.81366178104,19.899,0,0,61.7281374379602,35.9,1,1,46.18
PT,2004,38.6,10458821,15797.7821340276,6.132,0,18,56.5865509520713,38.5,1,1,62.84
SE,2004,37.85,8958229,37292.2419727801,5.555,0,9,84.1954289653543,39.7,0,1,80.11
SI,2004,28.35,1995733,14711.674874253,6.479,0,0,50.7553842628349,39.0,1,1,60.64
SK,2004,16.97,5373374,8675.39633696465,17.549,0,0,55.7386007222942,34.7,1,0,70.07
AT,2009,45.97,8321496,51581.3982361071,4.198,0,14,67.0435560819078,40.9,0,1,78.81
BE,2009,90.39,10709973,48303.397956286,6.976,1,51,84.427037120012,40.7,1,1,91.08
BG,2009,38.99,7492561,7271.30338858025,5.609,1,2,70.902099609375,41.9,1,1,60.64
CY,2009,59.4,1091026,35397.296875,3.756,0,5,67.8666261318649,35.4,1,1,89.0
CZ,2009,28.22,10384603,22774.7045076205,4.392,0,5,73.4655517409377,39.3,1,0,64.47
DE,2009,43.27,82110097,46379.1647953479,7.508,0,51,80.2459549084581,43.2,0,1,70.78
DK,2009,59.54,5493621,64616.6657583663,3.683,0,36,86.583137512207,40.2,0,1,86.59
EE,2009,43.9,1337090,18205.9064113446,5.455,0,5,67.6696980194394,39.8,1,1,61.91
EL,2009,52.54,11077841,31695.8331092209,7.664,1,28,75.615079456679,40.3,1,1,71.76
ES,2009,44.87,45954106,35603.248328071,11.254,0,23,78.0421438998777,39.2,0,1,75.32
FI,2009,38.6,5313399,53769.4726240385,6.369,0,14,69.2943672196361,41.5,0,1,65.02
FR,2009,40.63,64375116,45464.8181385158,7.386,0,51,77.1561901569367,39.3,0,1,60.42
HU,2009,36.31,10038188,15762.6322515113,7.817,0,5,68.0976986078883,39.4,1,1,67.57
IE,2009,58.64,4489544,61353.1065629523,6.774,0,36,61.3581903884996,33.4,0,0,67.03
IT,2009,66.47,59211181,40828.5795580937,6.723,0,51,67.9071958431441,42.6,0,1,80.54
LT,2009,20.98,3198231,14955.5345462921,5.826,0,5,66.7527770996094,39.6,1,1,48.59
LU,2009,90.76,488650,120422.137934157,5.06,1,51,87.6037664162874,38.6,1,1,90.93
LV,2009,53.7,2177322,15677.6080864506,7.739,0,5,67.8420335208058,39.9,1,0,60.98
MT,2009,78.79,409379,22315.3104212988,5.977,0,5,94.0294765354989,39.3,1,0,93.3
NL,2009,36.75,16445593,58246.7026905874,3.658,0,51,85.6149582464487,40.0,0,0,80.35
PL,2009,24.53,38125759,14048.5604672654,7.069,0,5,61.1258760375274,37.3,1,1,53.88
